CompanyName,Symbol,ISINCode,Industry,Price,WH52 ,WL52 ,,,,,,,
Adani Enterprises Ltd.,ADANIENT,INE423A01024,Metals & Mining,"2,496.45","4,190.00","1,017.45",,,,,,,
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,INE742F01042,Services,734.05,987.85,395.1,,,,,,,
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,INE437A01024,Healthcare,"4,599.15","4,901.95","3,525.00",,,,,,,
Asian Paints Ltd.,ASIANPAINT,INE021A01026,Consumer Durables,"3,144.40","3,582.90","2,560.00",,,,,,,
Axis Bank Ltd.,AXISBANK,INE238A01034,Financial Services,937.45,970,618.25,,,,,,,
Bajaj Auto Ltd.,BAJAJ-AUTO,INE917I01010,Automobile and Auto Components,"4,591.90","4,664.55","3,461.25",,,,,,,
Bajaj Finserv Ltd.,BAJAJFINSV,INE918I01026,Financial Services,"1,465.85","1,844.00","1,072.72",,,,,,,
Bajaj Finance Ltd.,BAJFINANCE,INE296A01024,Financial Services,"7,005.80","7,778.00","5,220.00",,,,,,,
Bharti Airtel Ltd.,BHARTIARTL,INE397D01024,Telecommunication,818.45,888.75,628.75,,,,,,,
Bharat Petroleum Corporation Ltd.,BPCL,INE029A01011,Oil Gas & Consumable Fuels,360.4,374.9,288.05,,,,,,,
Britannia Industries Ltd.,BRITANNIA,INE216A01030,Fast Moving Consumer Goods,"4,573.25","4,705.45","3,270.95",,,,,,,
Cipla Ltd.,CIPLA,INE059A01026,Healthcare,959.85,"1,185.25",852,,,,,,,
Coal India Ltd.,COALINDIA,INE522F01014,Oil Gas & Consumable Fuels,244.3,263.4,174.75,,,,,,,
Divi's Laboratories Ltd.,DIVISLAB,INE361B01024,Healthcare,"3,458.00","3,973.90","2,730.00",,,,,,,
Dr. Reddy's Laboratories Ltd.,DRREDDY,INE089A01023,Healthcare,"4,518.90","4,989.00","3,997.00",,,,,,,
Eicher Motors Ltd.,EICHERMOT,INE066A01021,Automobile and Auto Components,"3,678.35","3,889.65","2,585.05",,,,,,,
Grasim Industries Ltd.,GRASIM,INE047A01021,Construction Materials,"1,725.15","1,839.50","1,276.60",,,,,,,
HCL Technologies Ltd.,HCLTECH,INE860A01027,Information Technology,"1,135.85","1,156.65",877.35,,,,,,,
Housing Development Finance Corporation Ltd.,HDFC,INE001A01036,Financial Services,"2,693.35","2,867.00","2,026.00",,,,,,,
HDFC Bank Ltd.,HDFCBANK,INE040A01034,Financial Services,"1,636.75","1,734.45","1,271.60",,,,,,,
HDFC Life Insurance Company Ltd.,HDFCLIFE,INE795G01014,Financial Services,585.15,620.6,457.8,,,,,,,
Hero MotoCorp Ltd.,HEROMOTOCO,INE158A01026,Automobile and Auto Components,"2,779.15","2,938.60","2,246.00",,,,,,,
Hindalco Industries Ltd.,HINDALCO,INE038A01020,Metals & Mining,413.1,504,308.95,,,,,,,
Hindustan Unilever Ltd.,HINDUNILVR,INE030A01027,Fast Moving Consumer Goods,"2,656.55","2,741.60","2,100.00",,,,,,,
ICICI Bank Ltd.,ICICIBANK,INE090A01021,Financial Services,949.95,958.85,669.95,,,,,,,
IndusInd Bank Ltd.,INDUSINDBK,INE095A01012,Financial Services,"1,293.25","1,297.40",763.2,,,,,,,
Infosys Ltd.,INFY,INE009A01021,Information Technology,"1,323.85","1,672.60","1,185.30",,,,,,,
ITC Ltd.,ITC,INE154A01025,Fast Moving Consumer Goods,449.9,452,258.55,,,,,,,
JSW Steel Ltd.,JSWSTEEL,INE019A01038,Metals & Mining,704.6,777.5,525.6,,,,,,,
